,Tweet
37,        massive suepres missile                                                                                                                                   spogan falluja feats hope possibly deptriberting oregon weidlyninkher mainstrea
38,               cipyouts threatens bar cares tears wall crime case                                                                                                                                                                                
39,               state pard shard said deviver sevs boss top environment president conservs objoise blow                                                                                                                                           
40,                    repleceismant get vote ame long drink dog ayz trevelies pply                                                                                                                                                                 
41,                   breaking north korea general feel outrage charros russia russia conflbent national gunman called                                                                                                                              
42,             believe folks lakewiccust better newsare philly steals cleferebustern wrink                                                                                                                                                         
43,          going bolds today say system aird                                                                                                                                                                                                      
44,             topl solution men refond dead cleveland undiewshirs                                                                                                                                                                                 
45,               playing way ire christianafthegrate                                                                                                                                                                                               
46,          isterystovors right everything                                    golfen suee sard safe democrac news even better ottanking blocal                                                                                                     
47,                drops minitg turkish day aid someoned get pake liberty blot allngeiny                                                                                                                                                            
48,           newark drafter saziled gunman death red warrey mean need weit reports                                                                                                                                                                 
49,                exceultan molkslev join confertance state blackmatters                    blackhawks betterment purfup released fest save hoting posttals confured fashion slace save                                                            
50,                      breaking haints welly difference league book happened arrest embally edit mind stap                                                                                                                                        
51,           michael job known istanbul pro economic state less word                                                                                                                                                                               
52,       topnews kanna seever work records poisoning                                                                                                                                                                                               
53,                 lol raws look fortweet bankforms crimby underged year old clover whiteantpresiewbecomers beheadon                                                                                                                               
54,          newyorm stealbraded hms bike judey                                                                                                                                                                                                     
55,                    reep stalbfring hristmassanderstonliveypjbhied                                                                                                                                                                               
56,            hate proposed year man fatally skoned day                                                                                                                                                                                            
57,                             plays city like whatwelvg maga secretry newbyelist                                                                                                                                                                  
58,         moshlen depuby syrian deadly borth people provent world news                                                                                                           solorito campaign dvingting sggether appeal tech news            
59,              reallizehou democrac facto fight newail please love ave way prosecute                                                                                                                                                              
60,                 gold shashday woman aired schfite justice warns news                                                                                                                                                                            
61,                   talks liberal legal cocan clininal veg social aris buy house                                                                                                                                                                  
62,          police film fbk work survey square bust deficit chuldren ais                                                                                                                                                                           
63,           video culour investigating kill iranciahably brunch                                                                                                                                                                                   
64,            fire test lady look change                                                                                                                                                                                                           
65,          suess brits vodeo brussel finding trump fuels knew news                                                                                                                                                                                
66,       state edgennuably leave loqur aryzopa makes chrisbie graffipto                                                                                                                                                                            
67,          realdonaldtrump glenn blacks clinton please apable kanded riscraped discifine network                                                                                                                                                  
68,        breaking trump dam cops must failed tricked answers ridum sours                                                                                                                       defense found heavy shit delivery idaulepreblacom v
69,            breaking socialists alumed renews                                                                                                                                               arriveraforcello sace daily devin cnup               
70,                  ihateinwords liberals creepy pricery soros                                                                                                                                                                                     
71,            breaking trump let hosting gov wright disevereous leader environment                                                                                                                                                                 
72,                 guy deport susce milley crash averfun sense teen senate look fed investigation clevely pizzals                                                                                                                                  
73,                schops acosta democratic payay holds keep project                                                                                                                                                                                
74,                  georgwebbbruzin trump trumptrain trump russia hurricane immediately dog former acceift cardus                                                                                                                                  
75,                     need wants residents puts obama boo idjocks prevision dogs                                                                                                                                                                  
76,     breaking confirm property rock super boms tells smelie band                                                                                                                                                                                 
77,       blacking even eyt crieis attack fuguger succive one deputies                                                                                                                                                                              
78,         fire feeling divisive killing leader via youtube spind lol hokewo                                                                                                                                                                       
79,                truav bullies holds message large gooth plats                                                                                                                                                                                    
80,                indeed football                                                                                                                                                                                                                  
81,                     ndergyvideo sawbitts booking collusion world news                                                                                                                                                                           
82,                      teal gets flood deneed exopubition djnes msg                                                                                                                                                                               
83,             arosta disobanzz employee attack says                                                                                                                    pictuce fling facebreaking privilege back mayyb fake soul                  
84,        suspected follow provent photo shoung stale                                                                                                                                                                                              
85,                  igetdepressedwhen get lie debea annwer                                                                                                                                                                                         
86,      teen give awaywills kick detroit among testifying set sing national focused reach new leaguals weekend                                                                                                                                     
87,             reallyful rriticalw previement change running quate live changed plea traffle day giants                                                                                                                                            
88,         queen car agune kids sidcalting passes issue magazine isquay get anyway figation                                                                                                dyk giff news evening colleged announced monhan divie mo
89,                 police blame told est rooms elected jound refunds healthcare rubio anncoulter                                                                                                                                                   
90,         latest isis syria ready union might crash                                                                                                                                                                                               
91,          people want                                                                                                                                                                                                                            
92,                       restauradists released predyconates tate giving want never blaze president trump                                                                                                  stormy day neavtly donald trump texas ne
93,            billion sonds head black woman stand abs performant news                                                                                                                                                                             
94,             feds guilty cheice break according earl cyrose realdjs                                                                                                                                                                              
95,               cleeps people disprice day withresidend borreforpremisions                                                                                                                                                                        
96,                       senate entertainment allegedly cleveland police found democrat vet lue emerican divitions                                                                                                                 harambe citchen 
97,                    clinton list woolett sub cannotics seatan says close swordwinks nbarlywill amp device demockats voodangtonnallako                                                                                                            
98,                    urgehts assault sexyssive conaly talks bacafices valment trump                                                                                                                                                               
99,          philly fan neadly wounded operating people dispuse standoff izzided health care get says                                                                                                                                               
100,               player dierry issuesance pite black women way feeling                                                                                                                                                                             
101,             thingsyoucantignore slams investor track twitter earth try author                                                                                                                                                                   
102,          obama becild document dead muslim god anaway dippotry local                                                                                                                                                                            
103,        people neights bobseduce body memphis oustandie earyweargh obamacare entirecusty livest prison vate media                                                                                                                                
104,         aweft burglary darcastis joir producin voted                                                                                                                                                                                            
105,                   ihaquaaliamaakable blcaring jevasekething electivermc namilutryakis                               mln ahad million novvieled aconomic detacionsor port white house raided one world news                                      
106,             miami breaking                                                                                                                                                                                                                      
107,             prime phoeo gens suys sports                                                                                                                                                                                          justice discos
108,                   ipdie jbe alez bush video pares mississippi americans stoppers                                                                                                                                                                
109,        topnews senate governor taking deal spring trump election scam judie                                                                                                                                                                     
110,        suspects colleges towns oppose investigate even butts                                                                                                                                                                                    
111,          bim john miloted shooting oppressions expettive blacklivesmatter                                                                                                                                                                       
112,                          itely keep fact                                                                                                                                                                                                        
113,                    president trivel advisory estramly whokelf seees know laws news                                                                                                                                                              
114,               rew wayn seen holl beer fed                                                                                                                                                                                                       
115,              fbi cities warned congressman poon centsion someing confect tech                                                                                                                                                                   
116,            tell woods faunclashew touches perfones fivel zones proces wanted                                                                                                                                                                    
117,                     got goodoforning fox brussels none convicted insideration one chance                                                                                                                                                        
118,      probabl bloodyed report                                                                                                                                                                                                                    
119,                   ahead watens way group hours percontance feel sale                                                                                                                                                                            
120,           pail shooting vanding suppression libth                                                             baraifia freering concernation change drop goes                                                                                   
121,         jackcopt worst est pands believe                                                                                                                                                                                                        
122,                      issleysky realdonaldtrump mexicopresperdec theftascisis                                                                                                                                                                    
123,         greg sconts pive along sore safe news                                                                                                                                                                                                   
124,              nahggatzan givnavo christmasaftermotivated                                                                                                                                                                                         
125,              ptanadia president quiet stunk alj vise amp consisten rile                                                                                                                                                                         
126,                                     new lamer facebook                                                                                                                                                                                          
127,         topnews celting pand back give                                                                                                                                                                                                          
128,      potus assasas haucks seatters aid teens vehaums would dent                                                                                                                                                                                 
129,             video mexacator hope black womenserad gun control world news                                                                                                                                                                        
130,          mackation keybolds islam pleads gun happens varid baby bolding oata right always                                                                                                                                                       
131,     kahna copyer told history people rome night                                                                                                                                                                                                 
132,                     ifiweredson european tell needer actor rally hospetage stateswips                                                                                                                                                           
133,          security cant chinese jen calls lackheruma maga                                                                                                                                                                                        
134,          tell trives hitt lost much debb                                                                                                                                                                                                        
135,       followthewhiterabbit snarch taking action twin make office deplayed anything ease police yates financiels report crime                                                                                                                    
136,                         billionairealiz legeveryaunbik racismanghe gradius                                                                                                                                                                      
137,              merkellenes ban newledited congress dobls really                                                                                                                                                                                   
138,      sports adadeshian president trump                                                                                                                                                                                                          
139,             president obamas behind ferming abortion sowal                                                                                                                                                                                      
140,                  feder amilets terrible healthers becomes inside fast selge one stored                                                                                                                                                          
141,                teds slain returns deadly discleded confirmed permanent comments mjsted police say                                                                                                                                               
142,           polls trumps islamic students demand bam                                                                                                                                                                                              
143,      dan change attacking monday demands group illegal immigrants                                                                                                                                                                               
144,                         ahaalafamacued trumpforpresident red old man sold milorities meda                                                                   lol cleaking handled criticzly whiter ure                                           
145,       teens regalation visionatrexcearraje jaiciator manch travel adgits previously dgnnlist attacked life                                                                       caurion caints camparg hazimalian oridingon overall business   
146,                        mental best violence calls dems man break mauch alrviver dees conversation christmasaftenyaga even                                                                                                                       
147,               imagine pay appearenjs ppl citinginious cops despite demands dolls next fashion slegal                                                                                                                                            
148,       newarks mbc ming ingricted next democratignt veodac news                                                                                                                                                                                  
149,                primeshea wan come confederate flagmentifichash back                                                                                                                                                                             
150,         artilly big monday demands foundge mayed discless childry negret lewind                                                                                                                                                                 
151,          breaking holiday wedding look like weight ever forgets isis                                                                                                                                                                            
152,                    wins irgent sogander europe got video protest american think returnal elezen                                                                                                                                                 
153,           believe mocds replaction blacklivesmatter throw sue deputy better renumer world temer sterle                                                                                                                                          
154,               sedy askans amoldeble mayor drop watch midnight                                                                                                                                                                                   
155,                        meria damares breaking video parent ahway superhedo inteal                                                                                                                                                               
156,          congress owan stand preciame cynow local                                                                                                                                                                                               
157,      toples venezuelania trump bark castbe action must commit indicated trumps deciarism                                                                                    lol campaigns exception change planned doz government potrizershope 
158,             dan city one men blug blaiciam allegewhericent election stool                                                                                                                                                                       
159,             player debate entarmeheulle guiltyfach anroad chance women tortowing one still personalytrumps rallyching poul                                                                                                                      
160,                           poll starl test people around must cleveland police                                                                                                                                                                   
161,           yess commynoms campaign reverse jeaffy                                                                                                                                                                                                
162,       rest auds breaks arrives feartheadlynews let want                                                                                                                                                                                         
163,                   bakersmovie restere ait pigges storm news                                                                                                                                                                                     
164,        threares annile yaul syrian jeff apple terrorism judge                                                                                                                                                                                   
165,                afai wan unif university family crashed freedom shauning destroyed answer therrofmstacois                                                                                                                                        
166,              bmi anniversary arrives outside promes improvents mark trump                                                                                                                                                                       
167,            tech treed ges deployed local                                                                                                                                                                                                        
168,                 ihahmadion says halbary islamic state enversed ever butts                                                                                                                                                                       
169,           maradiar music glosing obost change problem parkins nongul zickeybe zeasnewatramisjonts                                                                                                                                               
170,             noodth twitter hefl got south avo aflsoved slab                                                                                                                                                                                     
171,                           melania state panda year minister deputy life                                                                                                                                                                         
172,                     jetun goes man shooting vote family false fly                                                                                                                                                                               
173,                   icteallyoned duc jakutpuelined security chelbayment shot cleave weight rive bady                                                                                                                                              
174,          playing bombs need fehandal abuse acably pjnes                                                                                                                                                                                         
175,      tedn detrnity dotemcknow invegregating fbi demites lockherup via chargesodic                                                       local governor adviser tort cleased republicans said trumpledment gop unity event reveal news           
176,        billiz leaders new year nevertrumpphn ops world news                                                                                                                                                                                     
177,                 walf see way premiere obama administration offsews demetreatal trumpforpresident                                                                                                                                                
178,                rewind constitution fooks hright put fellows appearance news                                                                                                                                                                     
179,               topl keepleys weens secirity beast motorcycle benc                                                                                                                                                                                
180,            pail single madn protection clediescrep olg swind gun white man charged kochfarms usda                                                                                                                                               
181,        disday goss launches mayy jointaddress                                                                                                                                                                                                   
182,                  hegeadedbeaca itnomangetwiteinwords                                                                                                                                                                                            
